Country Name,Power Index,Available Manpower,Purchasing Power Parity,Defense Budget,Active Personnel,Reserve Personnel,Air Force Personnel,Army Personnel,Navy Personnel,Aircraft Total,Attack,Fighters,Transport,Helicopters,Special-Mission,Trainers,Attack Helicopters,Tanker,Naval Assets,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Tanks,Self-Propelled Artillery,Towed Artillery,Rocket Artillery,External Debt
Romania,0.9558,"9,437,041","$774,376,000,000 USD","$10,230,630,000 USD","90,000","55,000","11,700","39,250","6,800",148,0 (0.0%),29 (19.6%),13 (8.8%),66 (44.6%),2 (1.4%),44 (29.7%),0 (0.0%),0 (0.0%),18,0,0,0,3,7,0,0,7,451,0,720,243,"$145,200,000,000 USD"
Russia,0.0791,"69,002,197","$6,089,000,000,000 USD","$212,638,272,000 USD","1,320,000","2,000,000","203,376","600,000","160,000","4,237",698 (16.5%),861 (20.3%),458 (10.8%),"1,643 (38.8%)",137 (3.2%),530 (12.5%),556 (13.1%),18 (0.4%),747,1,0,13,12,79,66,70,45,"5,630","3,603","5,920","2,486","$226,475,750,000 USD"
Saudi-arabia,0.4473,"19,003,104","$2,213,000,000,000 USD","$63,988,055,520 USD","247,000",0,"30,000","75,000","13,500",917,81 (8.8%),283 (30.9%),49 (5.3%),264 (28.8%),16 (1.7%),202 (22.0%),34 (3.7%),22 (2.4%),32,0,0,0,7,9,0,9,3,"1,085",380,557,327,"$248,171,000,000 USD"
Senegal,2.8925,"7,162,057","$83,183,000,000 USD","$777,800,000 USD","17,000",0,"1,000","15,460",500,39,0 (0.0%),0 (0.0%),5 (12.8%),19 (48.7%),1 (2.6%),22 (56.4%),5 (12.8%),0 (0.0%),4,0,0,0,0,0,0,4,0,0,0,20,6,"$14,985,000,000 USD"
Serbia,1.2938,"3,259,584","$177,093,000,000 USD","$2,770,000,000 USD","22,500","2,000","3,000","13,200",0,115,17 (14.8%),11 (9.6%),3 (2.6%),51 (44.3%),0 (0.0%),33 (28.7%),4 (3.5%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,242,96,150,73,"$21,726,000,000 USD"
Sierra-leone,3.9201,"2,006,631","$26,728,000,000 USD","$450,000,000 USD","13,000",0,175,"12,575",250,1,0 (0.0%),0 (0.0%),0 (0.0%),1 (100.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),10,0,0,0,0,0,0,10,0,0,0,0,0,"$1,451,000,000 USD"
Singapore,0.5272,"3,918,498","$800,304,000,000 USD","$18,000,000,000 USD","51,000","252,500","13,500","280,000","9,000",235,0 (0.0%),100 (42.6%),9 (3.8%),75 (31.9%),9 (3.8%),36 (15.3%),20 (8.5%),11 (4.7%),101,0,0,0,6,6,6,55,4,170,48,89,24,"$1,884,751,660,000 USD"
Slovakia,1.3911,"2,837,461","$218,762,000,000 USD","$2,900,000,000 USD","20,982",0,"3,200","18,282",0,48,0 (0.0%),7 (14.6%),7 (14.6%),22 (45.8%),1 (2.1%),11 (22.9%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,35,9,25,"$140,360,000,000 USD"
Slovenia,1.9404,"1,006,989","$103,118,000,000 USD","$1,782,000,000 USD","7,000","26,000",615,"32,035",350,40,0 (0.0%),0 (0.0%),5 (12.5%),16 (40.0%),0 (0.0%),23 (57.5%),0 (0.0%),0 (0.0%),3,0,0,0,0,0,0,3,0,54,17,18,0,"$60,500,000,000 USD"
Somalia,3.7393,"2,993,973","$26,770,000,000 USD","$870,000,000 USD","30,000",0,550,"29,150",500,6,0 (0.0%),0 (0.0%),0 (0.0%),6 (100.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),19,0,0,0,0,0,0,19,0,0,0,0,0,"$2,563,000,000 USD"
